,ID,Title,Publish_date,viewer_count,like_count,comment_count,categroyID,description,duration,Links,tags,plist_num,plist1,plist2,plist3,plist4,plist5
0,Z3A3TQM5zZc,Live Stream - Mutual Information/AMA/Ukulele Songs!!!,2022-09-20,4119,186,15,27,"Mutual Information is a cool way to see how two variables are related. It's sort of like Correlation or R-squared, except it works with any type of data (not just continuous values). A long time ago, I made some notes on Mutual Information, but never had time to expand them into a full StatQuest, so this is an opportunity to go through those notes in an interactive way. We'll also have time for any question you might have for me and maybe even a few songs on the Ukulele! TRIPLE BAM!!!

For a complete index of all the StatQuest videos, check out...
https://app.learney.me/maps/StatQuest
...or...
https://statquest.org/video-index/

If you'd like to support StatQuest, please consider...
Patreon: https://www.patreon.com/statquest
...or...
YouTube Membership: https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw/join

...a cool StatQuest t-shirt or sweatshirt: 
https://shop.spreadshirt.com/statquest-with-josh-starmer/

...buying one or two of my songs (or go large and get a whole album!)
https://joshuastarmer.bandcamp.com/

...or just donating to StatQuest!
https://www.paypal.me/statquest

Lastly, if you want to keep up with me as I research and create new StatQuests, follow me on twitter:
https://twitter.com/joshuastarmer",PT47M19S,https://www.youtube.com/watch?v=Z3A3TQM5zZc,"['StatQuest', 'Josh Starmer', 'Machine Learning', 'Statistics', 'Data Science', 'Naive Bayes', 'Gaussian']",,,,,,
1,khMzi6xPbuM,Introduction to Coding Neural Networks with PyTorch and Lightning,2022-09-19,9432,407,44,27,"Although we've seen how to code a simple neural network with PyTorch, we can make our lives a lot easier if we add Lightning to the mix. It makes writing the code easier, makes it portable to different computing environments and can even find the learning rate for us! TRIPLE BAM!!!!

Spanish
Este video ha sido doblado al español con voz artificial con https://aloud.area120.google.com para aumentar la accesibilidad. Puede cambiar el idioma de la pista de audio en el menú Configuración.

Portuguese
Este vídeo foi dublado para o português usando uma voz artificial via https://aloud.area120.google.com para melhorar sua acessibilidade. Você pode alterar o idioma do áudio no menu Configurações.

For a complete index of all the StatQuest videos, check out...
https://app.learney.me/maps/StatQuest
...or...
https://statquest.org/video-index/

If you'd like to support StatQuest, please consider...
Patreon: https://www.patreon.com/statquest
...or...
YouTube Membership: https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw/join

...a cool StatQuest t-shirt or sweatshirt: 
https://shop.spreadshirt.com/statquest-with-josh-starmer/

...buying one or two of my songs (or go large and get a whole album!)
https://joshuastarmer.bandcamp.com/

...or just donating to StatQuest!
https://www.paypal.me/statquest

Lastly, if you want to keep up with me as I research and create new StatQuests, follow me on twitter:
https://twitter.com/joshuastarmer

0:00 Awesome song and introduction
1:04 Review of basic PyTorch
2:34 Coding a pretrained neural network with PyTorch + Lightning
7:52 Training a neural network with PyTorch + Lightning
14:05 Using Lightning to find a good Learning Rate
17:25 Taking advantage of GPU acceleration with Lightning

#StatQuest  #DubbedWithAloud #PyTorch #Lightning",PT20M43S,https://www.youtube.com/watch?v=khMzi6xPbuM,"['Josh Starmer', 'StatQuest', 'Machine Learning', 'Statistics', 'Data Science']",,,,,,
2,CHOir6-ZpkE,Three more lessons from my Pop!!!,2022-09-04,8307,373,71,27,"Since September 4th is Global Frank Starmer Day (and also his birthday), I thought we'd celebrate by talking about three lessons that he learned from his pop and that he passed on to me.

English
This video has been dubbed using an artificial voice via https://aloud.area120.google.com to increase accessibility. You can change the audio track language in the Settings menu.

Spanish
Este video ha sido doblado al español con voz artificial con https://aloud.area120.google.com para aumentar la accesibilidad. Puede cambiar el idioma de la pista de audio en el menú Configuración.

Portuguese
Este vídeo foi dublado para o português usando uma voz artificial via https://aloud.area120.google.com para melhorar sua acessibilidade. Você pode alterar o idioma do áudio no menu Configurações.

For a complete index of all the StatQuest videos, check out...
https://app.learney.me/maps/StatQuest
...or...
https://statquest.org/video-index/

If you'd like to support StatQuest, please consider...
Patreon: https://www.patreon.com/statquest
...or...
YouTube Membership: https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw/join

...a cool StatQuest t-shirt or sweatshirt: 
https://shop.spreadshirt.com/statquest-with-josh-starmer/

...buying one or two of my songs (or go large and get a whole album!)
https://joshuastarmer.bandcamp.com/

...or just donating to StatQuest!
https://www.paypal.me/statquest

Lastly, if you want to keep up with me as I research and create new StatQuests, follow me on twitter:
https://twitter.com/joshuastarmer

0:00 Awesome song and introduction
0:57 Lesson 1: A good helper knows what tool is needed before it's needed
2:11 Lesson 2: I never met someone that I couldn't learn something from
3:40 Lesson 3: There's always room for ice cream

#StatQuest #DubbedWithAloud",PT5M28S,https://www.youtube.com/watch?v=CHOir6-ZpkE,"['Josh Starmer', 'StatQuest', 'Machine Learning', 'Statistics', 'Data Science']",,,,,,
3,AsNTP8Kwu80,"Recurrent Neural Networks (RNNs), Clearly Explained!!!",2022-07-11,43389,1634,236,27,"When you don't always have the same amount of data, like when translating different sentences from one language to another, or making stock market predictions from different companies, Recurrent Neural Networks come to the rescue. In this StatQuest, we'll show you how Recurrent Neural Networks work, one step at a time, and then we'll show you their critical flaw that will lead us to understanding Long Short-Term Memory Networks.

English
This video has been dubbed using an artificial voice via https://aloud.area120.google.com to increase accessibility. You can change the audio track language in the Settings menu.

Spanish
Este video ha sido doblado al español con voz artificial con https://aloud.area120.google.com para aumentar la accesibilidad. Puede cambiar el idioma de la pista de audio en el menú Configuración.

Portuguese
Este vídeo foi dublado para o português usando uma voz artificial via https://aloud.area120.google.com para melhorar sua acessibilidade. Você pode alterar o idioma do áudio no menu Configurações.

For a complete index of all the StatQuest videos, check out...
https://app.learney.me/maps/StatQuest
...or...
https://statquest.org/video-index/

If you'd like to support StatQuest, please consider...
Patreon: https://www.patreon.com/statquest
...or...
YouTube Membership: https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw/join

...a cool StatQuest t-shirt or sweatshirt: 
https://shop.spreadshirt.com/statquest-with-josh-starmer/

...buying one or two of my songs (or go large and get a whole album!)
https://joshuastarmer.bandcamp.com/

...or just donating to StatQuest!
https://www.paypal.me/statquest

Lastly, if you want to keep up with me as I research and create new StatQuests, follow me on twitter:
https://twitter.com/joshuastarmer

0:00 Awesome song and introduction
4:13 Basic anatomy of a recurrent neural network
5:59 Running data through a recurrent neural network
10:31 Shared weights and biases
11:23 The vanishing/exploding gradient problem.

#StatQuest #NeuralNetworks #Deeplearning #DubbedWithAloud",PT16M37S,https://www.youtube.com/watch?v=AsNTP8Kwu80,"['Josh Starmer', 'StatQuest', 'Machine Learning', 'Statistics', 'Data Science']",3.0,Neural Networks / Deep Learning,Machine Learning,StatQuest,,
4,80-Wpwf1_dg,"The StatQuest Illustrated Guide To Machine Learning, Theme Song!!!",2022-05-09,23215,777,218,27,"Because every StatQuest starts with a Silly Song, so does the new book! Get your copy here!
PDF - https://statquest.gumroad.com/l/wvtmc
Paperback - https://www.amazon.com/dp/B09ZCKR4H6
Kindle eBook - https://www.amazon.com/dp/B09ZG79HXC

For a complete index of all the StatQuest videos, check out...
https://app.learney.me/maps/StatQuest
...or...
https://statquest.org/video-index/

If you'd like to support StatQuest, please consider...
Patreon: https://www.patreon.com/statquest
...or...
YouTube Membership: https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw/join

...a cool StatQuest t-shirt or sweatshirt: 
https://shop.spreadshirt.com/statquest-with-josh-starmer/

...buying one or two of my songs (or go large and get a whole album!)
https://joshuastarmer.bandcamp.com/

...or just donating to StatQuest!
https://www.paypal.me/statquest

Lastly, if you want to keep up with me as I research and create new StatQuests, follow me on twitter:
https://twitter.com/joshuastarmer

#StatQuest #Shorts",PT15S,https://www.youtube.com/watch?v=80-Wpwf1_dg,"['Josh Starmer', 'StatQuest', 'Machine Learning', 'Statistics', 'Data Science']",,,,,,
5,FHdlXe1bSe4,The StatQuest Introduction to PyTorch,2022-04-25,55291,1785,221,27,"PyTorch is one of the most popular tools for making Neural Networks. This StatQuest walks you through a simple example of how to use PyTorch one step at a time. By the end of this StatQuest, you'll know how to create a new neural network from scratch, make predictions and graph the output, and optimize a parameter using backpropagation. BAM!!!

To learn more about Lightning: https://github.com/PyTorchLightning/pytorch-lightning
To learn more about Grid: https://www.grid.ai/

The code demonstrated this video can be downloaded here: https://www.grid.ai/introduction-to-pytorch/?utm_source=youtube&utm_medium=video&utm_campaign=StatQuest+Intro+to+PyTorch+Tutorial

This StatQuest assumes that you are already familiar with...
Neural Networks: https://youtu.be/CqOfi41LfDw
Backpropagation: https://youtu.be/IN2XmBhILt4
The ReLU Activation Function: https://youtu.be/68BZ5f7P94E
Tensors: https://youtu.be/L35fFDpwIM4

To install PyTorch see: https://pytorch.org/get-started/locally/
To install matplotlib, see: https://matplotlib.org/stable/users/getting_started/
To install seaborn, see: https://seaborn.pydata.org/installing.html

For a complete index of all the StatQuest videos, check out...
https://app.learney.me/maps/StatQuest
...or...
https://statquest.org/video-index/

If you'd like to support StatQuest, please consider...

Buying The StatQuest Illustrated Guide to Machine Learning!!!
PDF - https://statquest.gumroad.com/l/wvtmc
Paperback - https://www.amazon.com/dp/B09ZCKR4H6
Kindle eBook - https://www.amazon.com/dp/B09ZG79HXC

Patreon: https://www.patreon.com/statquest
...or...
YouTube Membership: https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw/join

...a cool StatQuest t-shirt or sweatshirt: 
https://shop.spreadshirt.com/statquest-with-josh-starmer/

...buying one or two of my songs (or go large and get a whole album!)
https://joshuastarmer.bandcamp.com/

...or just donating to StatQuest!
https://www.paypal.me/statquest

Lastly, if you want to keep up with me as I research and create new StatQuests, follow me on twitter:
https://twitter.com/joshuastarmer

0:00 Awesome song and introduction
1:38 Coding preliminaries
2:15 Creating a neural network in PyTorch
7:54 Graphing the neural network's output
10:47 Optimizing a parameter with backpropagation

#StatQuest #NeuralNetworks #PyTorch",PT23M22S,https://www.youtube.com/watch?v=FHdlXe1bSe4,"['Josh Starmer', 'StatQuest', 'Machine Learning', 'Statistics', 'Data Science', 'PyTorch', 'Python', 'Neural Network']",,,,,,
6,W4sYsXGeCls,"Troll 2, Clearly Explained!!!",2022-04-01,10501,398,76,27,"This year's April Fools' (April 1st) StatQuest demystifies one of the most poorly understood datasets in StatQuest videos: The movie Troll 2. Tin this StatQuest, we break down the movie it easy to understand pieces and then walk you through it, one step at a time. BAM!

NOTE: This StatQuest assumes you are familiar with...
BAM: https://youtu.be/i4iUvjsGCMc

For a complete index of all the StatQuest videos, check out...
https://app.learney.me/maps/StatQuest
...or...
https://statquest.org/video-index/

If you'd like to support StatQuest, please consider...

Buying my book, The StatQuest Illustrated Guide to Machine Learning:
PDF - https://statquest.gumroad.com/l/wvtmc
Paperback - https://kdp.amazon.com/amazon-dp-action/us/dualbookshelf.marketplacelink/B09ZCKR4H6
Kindle eBook - https://kdp.amazon.com/amazon-dp-action/us/dualbookshelf.marketplacelink/B09ZG79HXC

Patreon: https://www.patreon.com/statquest
...or...
YouTube Membership: https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw/join

...a cool StatQuest t-shirt or sweatshirt: 
https://shop.spreadshirt.com/statquest-with-josh-starmer/

...buying one or two of my songs (or go large and get a whole album!)
https://joshuastarmer.bandcamp.com/

...or just donating to StatQuest!
https://www.paypal.me/statquest

Lastly, if you want to keep up with me as I research and create new StatQuests, follow me on twitter:
https://twitter.com/joshuastarmer

0:00 Awesome song and introduction
1:12 Random facts about Troll 2
2:55 The Troll 2 story

#StatQuest #Troll2 #April1",PT5M6S,https://www.youtube.com/watch?v=W4sYsXGeCls,"['Josh Starmer', 'StatQuest', 'Machine Learning', 'Statistics', 'Data Science', 'Troll 2', 'April1']",2.0,Machine Learning,StatQuest,,,
7,aH3mZjHkAbs,The Binomial Distribution in 30 Seconds!!!,2022-03-22,21272,927,80,27,"Here's a little sing-a-long that will help you remember how to use the binomial distribution. BAM!

For a complete index of all the StatQuest videos, check out...
https://app.learney.me/maps/StatQuest
...or...
https://statquest.org/video-index/

If you'd like to support StatQuest, please consider...

Buying my book, The StatQuest Illustrated Guide to Machine Learning:
PDF - https://statquest.gumroad.com/l/wvtmc
Paperback - https://www.amazon.com/dp/B09ZCKR4H6
Kindle eBook - https://www.amazon.com/dp/B09ZG79HXC

Patreon: https://www.patreon.com/statquest
...or...
YouTube Membership: https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw/join

...a cool StatQuest t-shirt or sweatshirt: 
https://shop.spreadshirt.com/statquest-with-josh-starmer/

...buying one or two of my songs (or go large and get a whole album!)
https://joshuastarmer.bandcamp.com/

...or just donating to StatQuest!
https://www.paypal.me/statquest

Lastly, if you want to keep up with me as I research and create new StatQuests, follow me on twitter:
https://twitter.com/joshuastarmer

#StatQuest #Binomial #Shorts",PT30S,https://www.youtube.com/watch?v=aH3mZjHkAbs,"['Josh Starmer', 'StatQuest', 'Machine Learning', 'Statistics', 'Data Science']",,,,,,
8,jth4kEvJ3P8,UMAP: Mathematical Details (clearly explained!!!),2022-03-14,16954,460,70,27,"If you understand the main ideas of how UMAP works and want to dive in deeper, this 'Quest is for you!!! It also highlights some of the more subtle differences between UMAP and t-SNE. BAM!

NOTE: This StatQuest assumes that you are already familiar with the main ideas of how UMAP works...
https://youtu.be/eN0wFzBA4Sc
...and with how Gradient Descent and Stochastic Gradient Descent work...
https://youtu.be/sDv4f4s2SB8
https://youtu.be/vMh0zPT0tLI

And if you're not already familiar with t-SNE and want to learn more, check out...
https://youtu.be/NEaUSP4YerM

ALSO NOTE: This StatQuest is based on the original UMAP manuscript...
https://arxiv.org/pdf/1802.03426.pdf
...specifically Appendix C, From t-SNE to UMAP, which is also here...
https://jlmelville.github.io/uwot/umap-for-tsne.html
...and the UMAP user documentation...
https://umap-learn.readthedocs.io/en/latest/parameters.html

For a complete index of all the StatQuest videos, check out...
https://app.learney.me/maps/StatQuest
...or...
https://statquest.org/video-index/

If you'd like to support StatQuest, please consider...

Buying my book, The StatQuest Illustrated Guide to Machine Learning:
PDF - https://statquest.gumroad.com/l/wvtmc
Paperback - https://www.amazon.com/dp/B09ZCKR4H6
Kindle eBook - https://www.amazon.com/dp/B09ZG79HXC

Patreon: https://www.patreon.com/statquest
...or...
YouTube Membership: https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw/join

...a cool StatQuest t-shirt or sweatshirt: 
https://shop.spreadshirt.com/statquest-with-josh-starmer/

...buying one or two of my songs (or go large and get a whole album!)
https://joshuastarmer.bandcamp.com/

...or just donating to StatQuest!
https://www.paypal.me/statquest

Lastly, if you want to keep up with me as I research and create new StatQuests, follow me on twitter:
https://twitter.com/joshuastarmer

0:00 Awesome song and introduction
1:48 Calculating high-dimensional similarity scores
6:50 Making the scores symmetrical
8:47 Calculating low-dimensional similarity scores
10:41 Moving the low-dimensional points

#StatQuest #UMAP #DimensionReduction",PT16M2S,https://www.youtube.com/watch?v=jth4kEvJ3P8,"['Josh Starmer', 'StatQuest', 'Machine Learning', 'Statistics', 'Data Science']",,,,,,
9,eN0wFzBA4Sc,"UMAP Dimension Reduction, Main Ideas!!!",2022-03-07,38325,1228,118,27,"UMAP is one of the most popular dimension-reductions algorithms and this StatQuest walks you through UMAP, one step at a time, so that you will have a solid understanding of how UMAP works.

NOTE: This StatQuest is based on the original UMAP manuscript...
https://arxiv.org/pdf/1802.03426.pdf
...specifically Appendix C, From t-SNE to UMAP, which is also here...
https://jlmelville.github.io/uwot/umap-for-tsne.html
...and the UMAP user documentation...
https://umap-learn.readthedocs.io/en/latest/parameters.html

For a complete index of all the StatQuest videos, check out...
https://app.learney.me/maps/StatQuest
...or...
https://statquest.org/video-index/

If you'd like to support StatQuest, please consider...

Buying my book, The StatQuest Illustrated Guide to Machine Learning:
PDF - https://statquest.gumroad.com/l/wvtmc
Paperback - https://www.amazon.com/dp/B09ZCKR4H6
Kindle eBook - https://www.amazon.com/dp/B09ZG79HXC

Patreon: https://www.patreon.com/statquest
...or...
YouTube Membership: https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw/join

...a cool StatQuest t-shirt or sweatshirt: 
https://shop.spreadshirt.com/statquest-with-josh-starmer/

...buying one or two of my songs (or go large and get a whole album!)
https://joshuastarmer.bandcamp.com/

...or just donating to StatQuest!
https://www.paypal.me/statquest

Lastly, if you want to keep up with me as I research and create new StatQuests, follow me on twitter:
https://twitter.com/joshuastarmer

0:00 Awesome song and introduction
1:07 Motivation for UMAP
2:55 UMAP main ideas
5:22 Calculating high-dimensional similarity scores
10:41 Getting started with the low-dimensional graph
12:37 Calculating low-dimensional similarity scores and moving points
15:49 UMAP vs t-SNE

#StatQuest #UMAP #DimensionReduction",PT18M52S,https://www.youtube.com/watch?v=eN0wFzBA4Sc,"['Josh Starmer', 'StatQuest', 'Machine Learning', 'Statistics', 'Data Science']",,,,,,
