,ID,plist_num,plist1,plist2,plist3,plist4,plist5
0,-tibALm6VEI,1,Original Songs,,,,
1,-z7JuqK4edM,1,StatQuest,,,,
2,01205ys-GtI,2,Recipes From My Kitchen,StatQuest,,,
3,069WKnPyFnw,1,Original Songs,,,,
4,0Jp4gsfOLMs,4,Statistics and Machine Learning in R,High Throughput Sequencing,Machine Learning,StatQuest,
5,0nK6iPpqNPU,1,StatQuest,,,,
6,0oc49DyA3hU,3,#66DaysOfData,Statistics Fundamentals,StatQuest,,
7,1ONDvW1UIJc,1,StatQuest,,,,
8,1dKRdX9bfIo,3,#66DaysOfData,Machine Learning,StatQuest,,
9,2AQKmw14mHM,3,Statistics Fundamentals,Linear Regression and Linear Models,StatQuest,,
10,2TH4OgGgNfI,2,High Throughput Sequencing,StatQuest,,,
11,2UYx-qjJGSs,1,High Throughput Sequencing,,,,
12,2xudPOBz-vs,3,Gradient Boost,Machine Learning,StatQuest,,
13,3CC4N4z3GJc,4,#66DaysOfData,Gradient Boost,Machine Learning,StatQuest,
14,4KKV9yZCoM4,2,Statistics Fundamentals,StatQuest,,,
15,4b5d3muPQmA,4,#66DaysOfData,High Throughput Sequencing,Machine Learning,StatQuest,
16,4jRBRDbJemM,3,#66DaysOfData,Machine Learning,StatQuest,,
17,5Z9OIYA8He8,3,High Throughput Sequencing,Linear Regression and Linear Models,StatQuest,,
18,5koKb5B_YWo,2,Statistics Fundamentals,StatQuest,,,
19,67zCIqdeXpo,2,Statistics Fundamentals,StatQuest,,,
20,68BZ5f7P94E,4,#66DaysOfData,Neural Networks / Deep Learning,Machine Learning,StatQuest,
21,68e5i5D8qYU,1,Original Songs,,,,
22,6ArSys5qHAU,4,#66DaysOfData,Neural Networks / Deep Learning,Machine Learning,StatQuest,
23,6EXPYzbfLCE,4,Random Forests,Statistics and Machine Learning in R,Machine Learning,StatQuest,
24,6fWk_lQ_K5A,2,Statistics Fundamentals,StatQuest,,,
25,7VeUPuFGJHk,1,StatQuest,,,,
26,7xHsRkOdVwo,4,#66DaysOfData,High Throughput Sequencing,Machine Learning,StatQuest,
27,83LYR-1IcjA,4,#66DaysOfData,Neural Networks / Deep Learning,Machine Learning,StatQuest,
28,8A7L0GsBiLQ,2,Support Vector Machines,Machine Learning,,,
29,8b1JEDvenQU,4,#66DaysOfData,XGBoost,Machine Learning,StatQuest,
30,8nm0G-1uJzA,4,#66DaysOfData,Machine Learning,Statistics Fundamentals,StatQuest,
31,9T0wlKdew6I,3,Logistic Regression,Machine Learning,StatQuest,,
32,9wCnvr7Xw4E,2,Statistics Fundamentals,StatQuest,,,
33,A82brFpdr9g,3,#66DaysOfData,Statistics Fundamentals,StatQuest,,
34,ARfXDSkQf1Y,3,#66DaysOfData,Machine Learning,Statistics Fundamentals,,
35,AsNTP8Kwu80,3,Neural Networks / Deep Learning,Machine Learning,StatQuest,,
36,BXeZgqXAKAU,1,Original Songs,,,,
37,BfKanl1aSG0,3,Logistic Regression,Machine Learning,StatQuest,,
38,C4N3_XJJ-jU,4,Logistic Regression,Statistics and Machine Learning in R,Machine Learning,StatQuest,
39,CqLGvwi-5Pc,4,#66DaysOfData,Machine Learning,Linear Regression and Linear Models,StatQuest,
40,CqOfi41LfDw,4,#66DaysOfData,Neural Networks / Deep Learning,Machine Learning,StatQuest,
41,D0efHEJsfHo,3,CART - Classification And Regression Trees,Machine Learning,StatQuest,,
42,DdIjHl79psI,1,StatQuest,,,,
43,Dn6b9fCIUpM,2,Statistics Fundamentals,StatQuest,,,
44,Dr2aj85tcUI,1,Original Songs,,,,
45,DyaQp6Cz8RA,1,Original Songs,,,,
46,EH4-RtVpsy4,1,Original Songs,,,,
47,EuBBz3bI-aA,3,#66DaysOfData,Machine Learning,StatQuest,,
48,Exk0OoRG0PQ,2,Statistics Fundamentals,StatQuest,,,
49,F7Gqjbg3bWI,1,Original Songs,,,,
50,FKM7hZKYEqw,1,Original Songs,,,,
51,FgakZw6K1QQ,4,#66DaysOfData,High Throughput Sequencing,Machine Learning,StatQuest,
52,G9POY1cHn50,1,Original Songs,,,,
53,GEn-_dAyYME,4,#66DaysOfData,High Throughput Sequencing,Machine Learning,StatQuest,
54,GKZoOHXGcLo,4,#66DaysOfData,Neural Networks / Deep Learning,Machine Learning,StatQuest,
55,Gi0JdrxRq5s,2,High Throughput Sequencing,StatQuest,,,
56,Glr8Qk3OZHc,1,Original Songs,,,,
57,GrJP9FLV3FE,2,XGBoost,Machine Learning,,,
58,Gv9_4yMHFhI,3,#66DaysOfData,Machine Learning,StatQuest,,
59,H3EjCKtlVog,3,#66DaysOfData,Machine Learning,StatQuest,,
60,HDCOUXE3HMM,3,#66DaysOfData,Statistics Fundamentals,StatQuest,,
61,HGwBXDKFk9I,4,#66DaysOfData,Neural Networks / Deep Learning,Machine Learning,StatQuest,
62,HMOI_lkzW08,3,High Throughput Sequencing,Machine Learning,StatQuest,,
63,HUzQIZLQxA0,1,Original Songs,,,,
64,HVXime0nQeI,3,#66DaysOfData,Machine Learning,StatQuest,,
65,Hrr2anyK_5s,4,Statistics and Machine Learning in R,High Throughput Sequencing,Linear Regression and Linear Models,StatQuest,
66,IFKQLDmRK0Y,2,Statistics Fundamentals,StatQuest,,,
67,IN2XmBhILt4,4,#66DaysOfData,Neural Networks / Deep Learning,Machine Learning,StatQuest,
68,J4Wdy0Wc_xQ,4,#66DaysOfData,Random Forests,Machine Learning,StatQuest,
69,J8jNoF-K8E8,2,Statistics Fundamentals,StatQuest,,,
70,JC56jS2gVUE,3,Logistic Regression,Machine Learning,StatQuest,,
71,JQc3yx0-Q9E,3,#66DaysOfData,Statistics Fundamentals,StatQuest,,
72,K8LQSvtjcEo,2,#66DaysOfData,High Throughput Sequencing,,,
73,KEofcJ1tfkI,2,Statistics Fundamentals,StatQuest,,,
74,Kdsp6soqA7o,3,#66DaysOfData,Machine Learning,StatQuest,,
75,KpKog-L9veg,4,#66DaysOfData,Neural Networks / Deep Learning,Machine Learning,StatQuest,
76,L35fFDpwIM4,3,Neural Networks / Deep Learning,Machine Learning,StatQuest,,
77,Lg0okx38rOQ,1,Original Songs,,,,
78,Llqoz1u8Pfk,1,StatQuest,,,,
79,LsK-xG1cLYA,3,#66DaysOfData,Machine Learning,StatQuest,,
80,Lsue2gEM9D0,3,High Throughput Sequencing,Machine Learning,StatQuest,,
81,M59JElEPgIg,4,#66DaysOfData,Neural Networks / Deep Learning,Machine Learning,StatQuest,
82,MIgCbrNJyGo,1,Original Songs,,,,
83,Mgm-T-dILAQ,1,Original Songs,,,,
84,N4ZQQqyIf6k,2,Statistics Fundamentals,StatQuest,,,
85,NEaUSP4YerM,4,#66DaysOfData,High Throughput Sequencing,Machine Learning,StatQuest,
86,NF5_btOaCig,5,#66DaysOfData,High Throughput Sequencing,Machine Learning,Linear Regression and Linear Models,StatQuest
87,NGf0voTMlcs,3,#66DaysOfData,Machine Learning,StatQuest,,
88,O2L2Uv9pdDA,3,#66DaysOfData,Machine Learning,StatQuest,,
89,O33LgXNk87g,1,Recipes From My Kitchen,,,,
90,Odt_r4cAD8A,1,Original Songs,,,,
91,OtD8wVaFm6E,4,#66DaysOfData,XGBoost,Machine Learning,StatQuest,
92,OxA6i3iJd7M,1,Original Songs,,,,
93,OzCYzutsKuc,1,Original Songs,,,,
94,PaFPbb66DxQ,3,Machine Learning,Linear Regression and Linear Models,StatQuest,,
95,Q81RR3yKn30,3,#66DaysOfData,Machine Learning,StatQuest,,
96,Qc5IyLW_hns,3,Support Vector Machines,Machine Learning,StatQuest,,
97,R6ALolnItXg,1,Original Songs,,,,
98,RDZUdRSDOok,2,Machine Learning,StatQuest,,,
99,RiEZ_hEf96A,2,Statistics Fundamentals,StatQuest,,,
100,Rsc5znwR5FA,3,#66DaysOfData,Statistics Fundamentals,StatQuest,,
101,Rvm1aMwcraY,1,Original Songs,,,,
102,Sn-keVh_ERw,1,Recipes From My Kitchen,,,,
103,StWY5QWMXCw,3,Gradient Boost,Machine Learning,StatQuest,,
104,SzZ6GpcfoQY,3,#66DaysOfData,Statistics Fundamentals,StatQuest,,
105,TGvLteZCdAc,1,Original Songs,,,,
106,TTUrtCY2k-w,2,High Throughput Sequencing,StatQuest,,,
107,Toet3EiSFcM,3,Support Vector Machines,Machine Learning,StatQuest,,
108,TqOeMYtOc1w,2,Statistics Fundamentals,StatQuest,,,
109,UFB993xufUU,2,High Throughput Sequencing,StatQuest,,,
110,UFhJefdVCjE,1,StatQuest,,,,
111,UY8iYbxuzjc,1,Original Songs,,,,
